"Site","Date","Round","White","Black","Result","ECO","WhiteElo","BlackElo","Annotator","Source","Remark","pgn","ID","Time","Moves","Termination"
"Adelaide (Australia)","1980.??.??","?","Fuller Maxwell L (AUS)","Harrison Kevin (AUS)","1/2-1/2","B87","2355","2225","","","","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Bc4 e6 7.Bb3 b5 8.Qe2 Be7 9.Bg5 O-O 10.O-O-O Nxe4 11.Qxe4 Bxg5+ 12.f4 d5 13.Qf3 Bf6 14.g4 Qb6 15.Nce2 a5 16.c3 b4 17.g5 Be7 18.Bc2 bxc3 19.Nxc3 Na6 20.Rhe1 Rb8 21.Na4 Qc7 22.Kb1 Nb4 23.Rc1 Qa7 24.Red1 Bd7 25.Bxh7+ Kxh7 26.Qh5+ Kg8 27.Rc3 e5 28.fxe5 Qa6 29.e6 Bxe6 30.a3 Rfc8 31.Nxe6 Qxe6 32.Rh3 Qg6+ 33.Qxg6 fxg6 34.axb4 Rxb4 35.Nc3 Rcb8 36.Rxd5 Rxb2+ 37.Kc1 Rg2 38.Rxa5 Bxg5+ 39.Kd1 Rd8+ 40.Ke1 Bd2+ 41.Kf1 Bxc3 42.Rxc3 Rxh2 43.Kg1 Rb2 44.Rf3 Rd1+ 45.Rf1 Rdd2 46.Rf3 Rg2+ 47.Kh1 Rh2+ 48.Kg1 Rh4 49.Ra8+ Kh7 50.Rff8 1/2-1/2')"">","o_299016","","",""
"","","","obeli2","Ansh1234","0-1","","922","1064","","","","","l_299016","              5 min","35","time"
"Adelaide (Australia)","1980.??.??","?","Halpin Patrick (AUS)","Rogers Ian (AUS)","1-0","C44","2244","2547","","","","1.e4 e5 2.Nf3 Nc6 3.c3 Nf6 4.d4 Nxe4 5.d5 Bc5 6.dxc6 Bxf2+ 7.Ke2 bxc6 8.Nbd2 Ba6+ 9.c4 f5 10.Qa4 Bb7 11.Nxe4 fxe4 12.c5 exf3+ 13.Kxf2 fxg2 14.Kxg2 O-O 15.Rg1 d5 16.Kh1 Kh8 17.Bg5 Qe8 18.Qh4 Bc8 19.Re1 Rb8 20.Qg3 Rb4 21.Rxe5 Qf7 22.Re7 Qh5 23.Bf4 Qg6 24.Be5 Rg4 25.Rxg7 Qe4+ 26.Bg2 Rxg3 27.Bxe4 1-0')"">","o_299017","","",""
"","","","jayy2kok","mt79vt","0-1","","1122","1383","","","","","l_299017","              5 min","54","checkmate"
"Adelaide (Australia)","1980.??.??","?","Halpin Patrick (AUS)","Shaw Terrey I (AUS)","1/2-1/2","C44","2244","2280","","","","1.e4 e5 2.Nf3 Nc6 3.c3 d6 4.d4 Be7 5.Bb5 Bd7 6.O-O Nf6 7.Re1 O-O 8.Nbd2 Nxd4 9.cxd4 Bxb5 10.Qb3 Ba6 11.dxe5 dxe5 12.Nxe5 Nd7 13.Nxd7 Qxd7 14.Nf3 c5 15.Ne5 Qb5 16.Qf3 f6 17.Ng4 Rad8 18.Qf5 Qb4 19.Bh6 Bc4 20.e5 Qb6 21.exf6 Bxf6 22.Nxf6+ Rxf6 23.Qg4 Rxh6 24.Qxc4+ Kh8 25.Qf7 Qc6 26.Rad1 Rg8 27.Rd7 Rf6 28.Qe7 Rff8 29.h4 Qg6 30.Qxc5 b6 31.Qd4 Rf7 32.Rd8 Rff8 33.Rd7 Rf7 34.Rd8 Rff8 35.Rxf8 Rxf8 36.g3 h6 37.a3 Qf7 38.Re2 Re8 39.Rd2 Qf3 40.Rd1 Re2 41.Qd8+ Kh7 42.Qd4 1/2-1/2')"">","o_299018","","",""
"","","","Asinrajbik","postrado","0-1","","1129","1148","","","","","l_299018","              10 min","28","checkmate"
"Adelaide (Australia)","1980.??.??","?","Hamilton Douglas G (AUS)","Goldsmith Alan (AUS)","1-0","B33","2268","2247","","","","1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6 7.Bg5 a6 8.Na3 Be6 9.Nc4 Rc8 10.Bxf6 gxf6 11.Ne3 Ne7 12.Bd3 Bh6 13.Qf3 Bxe3 14.fxe3 Rg8 15.O-O Rg6 16.Nd5 Ng8 17.h3 Kf8 18.a4 Kg7 19.a5 Kh8 20.Ra3 Qf8 21.Rb3 Qh6 22.Kh2 Qh4 23.Rxb7 Nh6 24.Ne7 Rcg8 25.Nxg6+ Rxg6 26.b4 Bg4 27.Rb8+ Kg7 28.Qg3 Qh5 29.Rf3 d5 30.exd5 Bf5 31.Bxf5 Nxf5 32.Rxf5 Qxf5 33.Qf3 Qxc2 34.d6 e4 35.Qf1 f5 36.Rb6 f4 37.d7 Qc7 38.Rb7 Qd6 39.Qxf4 Qxf4+ 40.exf4 Rd6 41.Kg3 1-0')"">","o_299019","","",""
"","","","a_fitton","endprop","0-1","","1009","1121","","","","","l_299019","              10 min","32","time"
"Adelaide (Australia)","1980.??.??","?","Hamilton Douglas G (AUS)","Hjorth Greg (USA)","0-1","C11","2268","2378","","","","1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 dxe4 5.Nxe4 Be7 6.Bxf6 gxf6 7.Nf3 f5 8.Ng3 h5 9.h4 c5 10.Bc4 a6 11.dxc5 Qxd1+ 12.Rxd1 Bxc5 13.Ng5 Nd7 14.Bxe6 fxe6 15.Nxe6 Bb6 16.O-O Nc5 17.Ng7+ Kf7 18.N7xf5 Bxf5 19.Nxf5 Bc7 20.Rd5 Ne6 21.Rd7+ Kf6 22.Ne3 Rad8 23.Nd5+ Kg6 24.Nxc7 Rxd7 25.Nxe6 Rd2 26.Re1 Rxc2 27.Nf4+ Kf7 28.Nd3 Re8 29.Kf1 Rd2 30.Rxe8 Kxe8 31.Nf4 Rxb2 32.Nxh5 Rxa2 33.g4 Rc2 34.g5 a5 35.g6 Rc6 36.Nf4 Rf6 0-1')"">","o_299020","","",""
"","","","Massaho","1pawn1","0-1","","794","1186","","","","","l_299020","              15 min","6","resignation"
