"Site","Date","Round","White","Black","Result","ECO","WhiteElo","BlackElo","Annotator","Source","Remark","pgn","ID","Time","Moves","Termination"
"Groningen (Netherlands)","1971.12.??","2","Haik Aldo (FRA)","Kaiszauri Konstanty (SWE)","1/2-1/2","C69","2362","2345","","","","1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Bxc6 dxc6 5.O-O f6 6.d4 Bg4 7.dxe5 Qxd1 8.Rxd1 fxe5 9.Rd3 Bxf3 10.gxf3 Rd8 11.Nd2 Ne7 12.Nc4 Rxd3 13.cxd3 Ng6 14.Be3 Bd6 15.Na5 b6 16.Nxc6 Kd7 17.Rc1 Nh4 18.d4 Nxf3+ 19.Kg2 Nxd4 20.Nxd4 exd4 21.Bxd4 Re8 22.Re1 c5 23.Bc3 Be5 24.Bxe5 Rxe5 25.f4 Re7 26.Kf3 g6 27.Rd1+ Kc6 28.e5 Rd7 29.Rxd7 Kxd7 30.Ke4 Ke6 31.b3 h6 32.h4 b5 33.a4 bxa4 34.bxa4 a5 35.Ke3 g5 36.fxg5 hxg5 37.hxg5 Kxe5 38.Kd3 Kf5 39.Kc4 Kxg5 40.Kxc5 Kf6 1/2-1/2')"">","o_194018","","",""
"Groningen (Netherlands)","1971.12.??","4","Haik Aldo (FRA)","Milbers Paul (LUX)","1/2-1/2","E01","2362","2215","","","","1.Nf3 d5 2.c4 Nf6 3.cxd5 Nxd5 4.d4 e6 5.g3 c5 6.Bg2 Nc6 7.O-O Nb6 8.dxc5 Qxd1 9.Rxd1 Bxc5 10.Nc3 O-O 11.b3 Bd7 12.Bb2 Rfd8 13.Rac1 Be8 14.Ne1 Rxd1 15.Nxd1 Be7 16.Nd3 Rd8 17.Ne3 f6 18.f4 Kf7 19.Kf1 Kf8 20.f5 e5 21.g4 h5 22.h3 hxg4 23.hxg4 g5 24.Bc3 Kg7 25.Be1 Ba3 26.Rc3 Bd6 27.b4 Rc8 28.a3 Nd8 29.Rxc8 Nxc8 30.Nc4 Bc6 31.Bxc6 Nxc6 32.b5 N6e7 33.Nxd6 Nxd6 34.Bb4 Nec8 35.a4 Nc4 36.Kf2 a6 37.bxa6 bxa6 38.Nc5 a5 39.Bc3 N8b6 40.e4 Kf7 41.Ke2 Ke7 42.Kd3 Kd6 43.Nb3 Kd7 44.Nc5+ Kd6 45.Nb3 Kd7 46.Nxa5 Nxa5 47.Bxa5 Nxa4 1/2-1/2')"">","o_194019","","",""
"Groningen (Netherlands)","1971.12.??","7","Haik Aldo (FRA)","Nemlioglu Ahmet Fahri","1-0","E61","2362","0","","","","1.d4 Nf6 2.Nf3 g6 3.c4 Bg7 4.Nc3 O-O 5.Bg5 d6 6.e3 Nbd7 7.Qc2 c6 8.Rd1 Qc7 9.Be2 e5 10.h3 exd4 11.Nxd4 Qa5 12.Bf4 Ne5 13.O-O Rd8 14.Rd2 Ne8 15.Rfd1 Be6 16.b3 Rac8 17.Ne4 h6 18.Nxe6 1-0')"">","o_194020","","",""
"","","","Computer1-EASY","mantree","0-1","","1399","1579","","","","","l_194020","              5 min","32","checkmate"
"Groningen (Netherlands)","1971.12.??","5","Haik Aldo (FRA)","Stean Michael F (ENG)","0-1","D91","2362","2500","","","","1.d4 Nf6 2.Nf3 g6 3.c4 Bg7 4.Nc3 d5 5.Bg5 Ne4 6.cxd5 Nxg5 7.Nxg5 e6 8.Nf3 exd5 9.e3 Qd6 10.Be2 c6 11.O-O O-O 12.a3 Be6 13.Rc1 Nd7 14.b4 a5 15.Qb3 b5 16.bxa5 Rxa5 17.a4 bxa4 18.Nxa4 Rb8 19.Qd1 Qb4 20.Nc3 c5 21.Qd2 c4 22.Rb1 Qa3 23.Rxb8+ Nxb8 24.Ne1 Nc6 25.Nc2 Qd6 26.Rb1 Ra8 27.Bf3 Rb8 28.Rxb8+ Nxb8 29.Qc1 Bf8 30.Qb2 Na6 31.Qb5 Nc7 32.Qb7 Kg7 33.g3 Bf5 34.Qb2 Be7 35.Kg2 h5 36.h4 Bg4 37.Bxg4 hxg4 38.Qb8 Qd7 39.Qb7 Bf8 40.Kf1 Qf5 41.Ne1 Bd6 42.e4 dxe4 43.Qxe4 Qa5 44.Ne2 Qa1 45.Qc2 Bb4 46.Qc1 Qa2 47.Nc2 Nd5 48.Nf4 Nxf4 49.gxf4 Qb3 50.Ne3 Qd3+ 51.Kg1 c3 52.Nxg4 Qxd4 53.Qe3 Qd1+ 54.Kh2 Qxg4 55.Qd4+ Kh7 56.Qxb4 Qxh4+ 57.Kg2 Qg4+ 58.Kh2 0-1')"">","o_194021","","",""
"","","","erweenie","g0nE1001","1-0","","1540","1377","","","","","l_194021","              10 min","14","resignation"
"Groningen (Netherlands)","1971.12.??","4","Ireton Tom","Dieks Roy G (NED)","1/2-1/2","D02","0","2265","","","","1.Nf3 Nf6 2.g3 g6 3.Bg2 Bg7 4.O-O O-O 5.d4 d5 6.c4 c6 7.b3 a5 8.Bb2 a4 9.Ne5 Nbd7 10.Nxd7 Qxd7 11.cxd5 Nxd5 12.Qd2 Rd8 13.Rd1 axb3 14.axb3 Rxa1 15.Bxa1 Nc7 16.Bc3 Qe6 17.d5 Bxc3 18.Nxc3 cxd5 19.Nxd5 Nxd5 20.Bxd5 Qd6 21.Qd3 Kg7 22.Be4 Qxd3 23.Rxd3 Rxd3 24.Bxd3 Kf6 25.Kf1 Be6 26.Bc2 Ke5 27.Ke1 b5 28.Kd2 b4 29.f3 Kd4 30.e3+ Kc5 31.Kd3 Bd5 32.e4 Bc6 33.Ke3 e5 34.Bd3 Bb5 35.Bxb5 Kxb5 36.f4 exf4+ 37.Kxf4 Kc5 38.Ke5 g5 39.h3 h5 40.Kf5 Kd4 41.Kxg5 Kc3 42.Kf6 Kxb3 43.Kxf7 Kc2 44.e5 b3 45.e6 b2 46.e7 b1Q 47.e8Q Qf1+ 48.Kg7 Qxh3 49.Qe2+ Kc1 50.Qe1+ Kc2 51.Qe2+ Kc1 52.Qe1+ Kc2 53.Qe2+ 1/2-1/2')"">","o_194022","","",""
"","","","jasonrp","barbarossaalderus","0-1","","1068","1118","","","","","l_194022","              20 min","32","checkmate"
"Groningen (Netherlands)","1971.12.??","6","Ireton Tom","Haik Aldo (FRA)","1/2-1/2","B06","0","2362","","","","1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.Be3 c6 5.h3 Nd7 6.Nf3 e5 7.dxe5 dxe5 8.Bc4 Qe7 9.Ng5 Nh6 10.Qd2 Nb6 11.Bb3 f6 12.O-O-O Bd7 13.Nf3 Ng8 14.a4 Be6 15.Bxe6 Qxe6 16.b3 Bf8 17.Ne1 Ba3+ 18.Kb1 Ne7 19.Nd3 Nd7 20.f4 O-O-O 21.Qf2 b6 22.a5 Kb7 23.Na4 exf4 24.Nxf4 Qxe4 25.axb6 Nf5 26.Rxd7+ Rxd7 27.Bc5 axb6 28.Re1 Qxe1+ 29.Qxe1 Bxc5 30.Nxc5+ bxc5 31.Ne6 Kb6 32.b4 c4 33.Qf2+ Kb7 34.Nc5+ Kc7 35.Nxd7 Kxd7 36.g4 Nd6 37.Qxf6 Re8 38.Qd4 Re7 39.Kb2 Kc7 40.Qc5 Rd7 41.Qa7+ Nb7 42.Kc3 Rf7 43.Kxc4 Rf3 44.b5 Rf4+ 45.Kb3 cxb5 46.Qe3 Rf7 47.h4 Rd7 48.Kb4 Nd6 49.Qe6 Kc6 50.h5 gxh5 51.gxh5 Ra7 1/2-1/2')"">","o_194023","","",""
"","","","realantdog","cablemannva","0-1","","911","862","","","","","l_194023","              15|10","17","resignation"
