"type","ID","pgn","color","move","piece","x","y","sq"
"livechess","1015670819","43.h3","white","43","pawn","h","3","h3"
"livechess","1015670819","44.Qxf6","white","44","Queen","f","6","f6"
"livechess","1015670819","45.Kg2","white","45","King","g","2","g2"
"livechess","1015670819","46.Qf2","white","46","Queen","f","2","f2"
"livechess","1015670819","1...e6","black","1","pawn","e","6","e6"
"livechess","1015670819","2...b6","black","2","pawn","b","6","b6"
"livechess","1015670819","3...Qf6","black","3","Queen","f","6","f6"
"livechess","1015670819","4...Qg6","black","4","Queen","g","6","g6"
"livechess","1015670819","5...h6","black","5","pawn","h","6","h6"
"livechess","1015670819","6...Qh5","black","6","Queen","h","5","h5"
"livechess","1015670819","7...Qg4","black","7","Queen","g","4","g4"
"livechess","1015670819","8...Bb7","black","8","Bishop","b","7","b7"
"livechess","1015670819","9...Qf4","black","9","Queen","f","4","f4"
"livechess","1015670819","10...Qe4","black","10","Queen","e","4","e4"
"livechess","1015670819","11...Qc6","black","11","Queen","c","6","c6"
"livechess","1015670819","13...a6","black","13","pawn","a","6","a6"
"livechess","1015670819","14...Bd5","black","14","Bishop","d","5","d5"
"livechess","1015670819","15...Be4","black","15","Bishop","e","4","e4"
"livechess","1015670819","16...Bf5","black","16","Bishop","f","5","f5"
"livechess","1015670819","17...Bg6","black","17","Bishop","g","6","g6"
"livechess","1015670819","18...f5","black","18","pawn","f","5","f5"
"livechess","1015670819","20...Bf7","black","20","Bishop","f","7","f7"
"livechess","1015670819","23...Nc6","black","23","Knight","c","6","c6"
"livechess","1015670819","24...Bc5+","black","24","Bishop","c","5","c5"
"livechess","1015670819","26...Nd4","black","26","Knight","d","4","d4"
"livechess","1015670819","27...Kf7","black","27","King","f","7","f7"
"livechess","1015670819","28...Nb5","black","28","Knight","b","5","b5"
"livechess","1015670819","31...Bd6","black","31","Bishop","d","6","d6"
"livechess","1015670819","32...Rhg8","black","32","Rook","g","8","g8"
"livechess","1015670819","33...Kg6","black","33","King","g","6","g6"
"livechess","1015670819","34...Rac8","black","34","Rook","c","8","c8"
"livechess","1015670819","35...Kf7","black","35","King","f","7","f7"
"livechess","1015670819","36...Nb5","black","36","Knight","b","5","b5"
"livechess","1015670819","37...Kg7","black","37","King","g","7","g7"
"livechess","1015670819","38...Kg6","black","38","King","g","6","g6"
"livechess","1015670819","39...Kh5","black","39","King","h","5","h5"
"livechess","1015670819","40...Kh4","black","40","King","h","4","h4"
"livechess","1015670819","41...Kh3","black","41","King","h","3","h3"
"livechess","1015670819","42...Kh4","black","42","King","h","4","h4"
"livechess","1015670819","43...Rg5","black","43","Rook","g","5","g5"
"livechess","1015670819","44...Rcg8","black","44","Rook","g","8","g8"
"livechess","1015670819","45...h5","black","45","pawn","h","5","h5"
"livechess","1015674935","1.e3","white","1","pawn","e","3","e3"
"livechess","1015674935","2.Qg4","white","2","Queen","g","4","g4"
"livechess","1015674935","3.Nf3","white","3","Knight","f","3","f3"
"livechess","1015674935","4.Nc3","white","4","Knight","c","3","c3"
"livechess","1015674935","5.Qa4","white","5","Queen","a","4","a4"
"livechess","1015674935","6.Bb5","white","6","Bishop","b","5","b5"
"livechess","1015674935","7.b3","white","7","pawn","b","3","b3"
"livechess","1015674935","8.Bxc6","white","8","Bishop","c","6","c6"
"livechess","1015674935","9.Qg4","white","9","Queen","g","4","g4"
"livechess","1015674935","10.Qg5","white","10","Queen","g","5","g5"
"livechess","1015674935","11.Qe5","white","11","Queen","e","5","e5"
"livechess","1015674935","12.Nxd5","white","12","Knight","d","5","d5"
"livechess","1015674935","13.Qc3","white","13","Queen","c","3","c3"
"livechess","1015674935","14.Qb2","white","14","Queen","b","2","b2"
"livechess","1015674935","15.d3","white","15","pawn","d","3","d3"
"livechess","1015674935","16.Bd2","white","16","Bishop","d","2","d2"
"livechess","1015674935","17.Nxd2","white","17","Knight","d","2","d2"
"livechess","1015674935","18.f3","white","18","pawn","f","3","f3"
"livechess","1015674935","19.d4","white","19","pawn","d","4","d4"
"livechess","1015674935","20.exd4","white","20","pawn","d","4","d4"
"livechess","1015674935","21.O-O-O","white","21","King & Rook","multiple","1|8","O"
"livechess","1015674935","22.Kb1","white","22","King","b","1","b1"
"livechess","1015674935","23.g3","white","23","pawn","g","3","g3"
"livechess","1015674935","24.f4","white","24","pawn","f","4","f4"
"livechess","1015674935","25.Rhe1","white","25","Rook","e","1","e1"
"livechess","1015674935","26.Ne4","white","26","Knight","e","4","e4"
"livechess","1015674935","27.Qc1","white","27","Queen","c","1","c1"
"livechess","1015674935","28.Rxe4","white","28","Rook","e","4","e4"
"livechess","1015674935","29.Re2","white","29","Rook","e","2","e2"
"livechess","1015674935","30.d5","white","30","pawn","d","5","d5"
"livechess","1015674935","31.Rxd5","white","31","Rook","d","5","d5"
"livechess","1015674935","32.Rh5","white","32","Rook","h","5","h5"
"livechess","1015674935","33.Re8+","white","33","Rook","e","8","e8"
"livechess","1015674935","34.Qb2","white","34","Queen","b","2","b2"
"livechess","1015674935","1...c5","black","1","pawn","c","5","c5"
"livechess","1015674935","2...e6","black","2","pawn","e","6","e6"
"livechess","1015674935","3...Nc6","black","3","Knight","c","6","c6"
"livechess","1015674935","4...d5","black","4","pawn","d","5","d5"
"livechess","1015674935","5...Bd7","black","5","Bishop","d","7","d7"
"livechess","1015674935","6...Qc7","black","6","Queen","c","7","c7"
"livechess","1015674935","7...a6","black","7","pawn","a","6","a6"
"livechess","1015674935","8...Bxc6","black","8","Bishop","c","6","c6"
"livechess","1015674935","9...Nf6","black","9","Knight","f","6","f6"
"livechess","1015674935","10...h6","black","10","pawn","h","6","h6"
