"type","ID","pgn","color","move","piece","x","y","sq"
"echess","104031688","9...c5","black","9","pawn","c","5","c5"
"echess","104031688","8.Nd4","white","8","Knight","d","4","d4"
"echess","104031688","8...Na6","black","8","Knight","a","6","a6"
"echess","104031688","7.Qb4","white","7","Queen","b","4","b4"
"echess","104031688","6...Nh6","black","6","Knight","h","6","h6"
"echess","104031688","5.Qg4","white","5","Queen","g","4","g4"
"echess","104031688","5...Bd7","black","5","Bishop","d","7","d7"
"echess","104031688","3...Bg7","black","3","Bishop","g","7","g7"
"echess","104031688","2...g6","black","2","pawn","g","6","g6"
"echess","104031688","1.e3","white","1","pawn","e","3","e3"
"echess","104031688","1...e6","black","1","pawn","e","6","e6"
"echess","104031688","2.Nc3","white","2","Knight","c","3","c3"
"echess","104031688","3.b3","white","3","pawn","b","3","b3"
"echess","104031688","4.Bb2","white","4","Bishop","b","2","b2"
"echess","104031688","4...d6","black","4","pawn","d","6","d6"
"echess","104031688","6.Nf3","white","6","Knight","f","3","f3"
"echess","104031688","7...b6","black","7","pawn","b","6","b6"
"echess","104031688","14...Nf5","black","14","Knight","f","5","f5"
"echess","104031688","15...Bc6","black","15","Bishop","c","6","c6"
"echess","104031688","16.Rxd8","white","16","Rook","d","8","d8"
"echess","104031688","16...Rxd8","black","16","Rook","d","8","d8"
"echess","104031688","17.c4","white","17","pawn","c","4","c4"
"echess","104031688","17...Bxb2+","black","17","Bishop","b","2","b2"
"echess","104031688","18.Kxb2","white","18","King","b","2","b2"
"echess","104031688","18...Rd2","black","18","Rook","d","2","d2"
"echess","104031688","19.h3","white","19","pawn","h","3","h3"
"echess","104031688","19...Rxf2","black","19","Rook","f","2","f2"
"echess","104031688","20.Rh2","white","20","Rook","h","2","h2"
"echess","104031688","20...Nxe3","black","20","Knight","e","3","e3"
"echess","104031688","21.Kc3","white","21","King","c","3","c3"
"echess","104031688","21...Rxc2+","black","21","Rook","c","2","c2"
"echess","104031688","22.Kd3","white","22","King","d","3","d3"
"echess","103212438","1.e3","white","1","pawn","e","3","e3"
"echess","103212438","1...e5","black","1","pawn","e","5","e5"
"echess","103212438","2.h3","white","2","pawn","h","3","h3"
"echess","103212438","2...e4","black","2","pawn","e","4","e4"
"echess","103212438","3.Qh5","white","3","Queen","h","5","h5"
"echess","103212438","3...Nc6","black","3","Knight","c","6","c6"
"echess","103212438","4.Nc3","white","4","Knight","c","3","c3"
"echess","103212438","4...Nb4","black","4","Knight","b","4","b4"
"echess","103212438","5.Rb1","white","5","Rook","b","1","b1"
"echess","103212438","5...Nxc2+","black","5","Knight","c","2","c2"
"echess","103212438","6.Kd1","white","6","King","d","1","d1"
"echess","103212438","6...Nb4","black","6","Knight","b","4","b4"
"echess","103212438","7.Nxe4","white","7","Knight","e","4","e4"
"echess","103212438","7...Qe7","black","7","Queen","e","7","e7"
"echess","103212438","8.Bc4","white","8","Bishop","c","4","c4"
"echess","103212438","8...Nf6","black","8","Knight","f","6","f6"
"echess","103212438","9.Nxf6+","white","9","Knight","f","6","f6"
"echess","103212438","9...Qxf6","black","9","Queen","f","6","f6"
"echess","103212438","10.f4","white","10","pawn","f","4","f4"
"echess","103212438","10...d5","black","10","pawn","d","5","d5"
"echess","103212438","11.Bxd5","white","11","Bishop","d","5","d5"
"echess","103212438","11...Qa6","black","11","Queen","a","6","a6"
"echess","103212438","12.Qxf7+","white","12","Queen","f","7","f7"
"echess","103212438","12...Kd8","black","12","King","d","8","d8"
"echess","103212438","13.Nf3","white","13","Knight","f","3","f3"
"echess","103212438","13...Bc5","black","13","Bishop","c","5","c5"
"echess","103212438","14.Qxg7","white","14","Queen","g","7","g7"
"echess","103893182","26.Qh8#","white","26","Queen","h","8","h8"
"echess","103893182","25.Be7+","white","25","Bishop","e","7","e7"
"echess","103893182","25...Kc8","black","25","King","c","8","c8"
"echess","103893182","24.Bxf8","white","24","Bishop","f","8","f8"
"echess","103893182","24...c6","black","24","pawn","c","6","c6"
"echess","103893182","23.Rf8+","white","23","Rook","f","8","f8"
"echess","103893182","23...Rxf8","black","23","Rook","f","8","f8"
"echess","103893182","22.Qd4","white","22","Queen","d","4","d4"
"echess","103893182","22...Rg8","black","22","Rook","g","8","g8"
"echess","103893182","21.Bxd6","white","21","Bishop","d","6","d6"
"echess","103893182","21...Nxe4","black","21","Knight","e","4","e4"
"echess","103893182","20.Bxe5","white","20","Bishop","e","5","e5"
"echess","103893182","20...Nf6","black","20","Knight","f","6","f6"
"echess","103893182","19.Bh5+","white","19","Bishop","h","5","h5"
"echess","103893182","19...Kd8","black","19","King","d","8","d8"
"echess","103893182","18.fxe5","white","18","pawn","e","5","e5"
"echess","103893182","18...fxe5","black","18","pawn","e","5","e5"
"echess","103893182","17.f4","white","17","pawn","f","4","f4"
"echess","103893182","17...f6","black","17","pawn","f","6","f6"
"echess","103893182","16.Bg4","white","16","Bishop","g","4","g4"
"echess","103893182","16...Qd6","black","16","Queen","d","6","d6"
"echess","103893182","15.Nd5","white","15","Knight","d","5","d5"
"echess","103893182","15...Qe6","black","15","Queen","e","6","e6"
"echess","103893182","14.Bb2","white","14","Bishop","b","2","b2"
"echess","103893182","14...e5","black","14","pawn","e","5","e5"
"echess","103893182","13.g3","white","13","pawn","g","3","g3"
"echess","103893182","13...Qe7","black","13","Queen","e","7","e7"
"echess","103893182","12.a3","white","12","pawn","a","3","a3"
"echess","103893182","12...Qh4","black","12","Queen","h","4","h4"
"echess","103893182","11.b4","white","11","pawn","b","4","b4"
"echess","103893182","11...Na6","black","11","Knight","a","6","a6"
"echess","103893182","10.Bxf3","white","10","Bishop","f","3","f3"
"echess","103893182","10...Nxc5","black","10","Knight","c","5","c5"
"echess","103893182","9.dxc5","white","9","pawn","c","5","c5"
"echess","103893182","9...gxf3","black","9","pawn","f","3","f3"
"echess","103893182","8.d4","white","8","pawn","d","4","d4"
"echess","103893182","8...g4","black","8","pawn","g","4","g4"
"echess","103893182","7.O-O","white","7","pawn","multiple","1|8","castle"
"echess","103893182","7...g5","black","7","pawn","g","5","g5"
"echess","103893182","6.Be2","white","6","Bishop","e","2","e2"
"echess","103893182","6...Bc5","black","6","Bishop","c","5","c5"
"echess","103893182","5.Nf3","white","5","Knight","f","3","f3"
"echess","103893182","5...Na6","black","5","Knight","a","6","a6"
"echess","103893182","4.Nc3","white","4","Knight","c","3","c3"
"echess","103893182","4...Bb7","black","4","Bishop","b","7","b7"
"echess","103893182","3.e4","white","3","pawn","e","4","e4"
"echess","103893182","3...b6","black","3","pawn","b","6","b6"
"echess","103893182","2.d3","white","2","pawn","d","3","d3"
"echess","103893182","2...h6","black","2","pawn","h","6","h6"
"echess","103893182","1.c4","white","1","pawn","c","4","c4"
"echess","103893182","1...e6","black","1","pawn","e","6","e6"
"echess","104031688","22...Rxg2","black","22","Rook","g","2","g2"
"echess","104031688","23.Rxg2","white","23","Rook","g","2","g2"
"echess","104031688","23...Nxg2","black","23","Knight","g","2","g2"
"echess","104031688","24.Kc3","white","24","King","c","3","c3"
"echess","104031688","24...f5","black","24","pawn","f","5","f5"
"echess","104031688","25.b4","white","25","pawn","b","4","b4"
"echess","102202308","16.Qe2","white","16","Queen","e","2","e2"
"echess","102202308","16...Re8","black","16","Rook","e","8","e8"
"echess","102202308","17.Ne4","white","17","Knight","e","4","e4"
"echess","102202308","17...Qxc2","black","17","Queen","c","2","c2"
"echess","102202308","18.O-O","white","18","pawn","multiple","1|8","castle"
"echess","102202308","18...Ncd4","black","18","Knight","d","4","d4"
"echess","102202308","19.exd4","white","19","pawn","d","4","d4"
"echess","102202308","19...Qc6","black","19","Queen","c","6","c6"
"echess","102202308","20.Rac1","white","20","Rook","c","1","c1"
"echess","102202308","20...Qd5","black","20","Queen","d","5","d5"
"echess","102202308","21.d3","white","21","pawn","d","3","d3"
"echess","102202308","21...Nxd4","black","21","Knight","d","4","d4"
"echess","102202308","22.Bxd4","white","22","Bishop","d","4","d4"
"echess","102202308","22...Qxd4+","black","22","Queen","d","4","d4"
"echess","104031688","25...f4","black","25","pawn","f","4","f4"
"livechess","1014810754","1.d4","white","1","pawn","d","4","d4"
"livechess","1014810754","1...e6","black","1","pawn","e","6","e6"
"livechess","1014810754","2.c4","white","2","pawn","c","4","c4"
"livechess","1014810754","2...Qh4","black","2","Queen","h","4","h4"
"livechess","1014810754","3.Nc3","white","3","Knight","c","3","c3"
"livechess","1014810754","3...Nf6","black","3","Knight","f","6","f6"
"livechess","1014810754","4.Nf3","white","4","Knight","f","3","f3"
"livechess","1014810754","4...Qh5","black","4","Queen","h","5","h5"
"livechess","1014810754","5.e3","white","5","pawn","e","3","e3"
"livechess","1014810754","5...Qa5","black","5","Queen","a","5","a5"
"livechess","1014810754","6.Bd2","white","6","Bishop","d","2","d2"
"livechess","1014810754","6...Bb4","black","6","Bishop","b","4","b4"
"livechess","1014810754","7.Bd3","white","7","Bishop","d","3","d3"
"livechess","1014810754","7...Nc6","black","7","Knight","c","6","c6"
"livechess","1014810754","8.Ne4","white","8","Knight","e","4","e4"
"livechess","1014810754","8...b6","black","8","pawn","b","6","b6"
"livechess","1014810754","9.O-O","white","9","pawn","multiple","1|8","castle"
"livechess","1014810754","9...Bxd2","black","9","Bishop","d","2","d2"
"livechess","1014810754","10.Nexd2","white","10","Knight","d","2","d2"
"livechess","1014810754","10...Qb4","black","10","Queen","b","4","b4"
"livechess","1014810754","11.Nb3","white","11","Knight","b","3","b3"
"livechess","1014810754","11...Na5","black","11","Knight","a","5","a5"
"livechess","1014810754","12.a3","white","12","pawn","a","3","a3"
"livechess","1014810754","12...Qxb3","black","12","Queen","b","3","b3"
"livechess","1014810754","13.Qxb3","white","13","Queen","b","3","b3"
"livechess","1014810754","13...Nxb3","black","13","Knight","b","3","b3"
