"link","type","ID","Event","Date","White","Black","Result","WhiteElo","BlackElo","TimeControl"
"http://www.chess.com/livechess/game?id=1062146195","livechess",1062146195,"Live Chess","2015-02-16","IlanPH","thinkboolean","0-1","1237","1189","5|0"
"http://www.chess.com/livechess/game?id=1062152280","livechess",1062152280,"Live Chess","2015-02-16","thinkboolean","andrewhun","0-1","1180","1149","5|0"
"http://www.chess.com/livechess/game?id=1064056887","livechess",1064056887,"Live Chess","2015-02-18","Sidien","thinkboolean","1-0","1166","1171","5|0"
"http://www.chess.com/livechess/game?id=1064058502","livechess",1064058502,"Live Chess","2015-02-18","Quarteira","thinkboolean","0-1","1184","1179","5|0"
"http://www.chess.com/livechess/game?id=1064067126","livechess",1064067126,"Live Chess","2015-02-18","thinkboolean","eorcone","0-1","1171","1175","5|0"
"http://www.chess.com/livechess/game?id=1064071614","livechess",1064071614,"Live Chess","2015-02-18","bitterswee","thinkboolean","1-0","1205","1164","5|0"
"http://www.chess.com/livechess/game?id=1064414539","livechess",1064414539,"Live Chess","2015-02-18","thinkboolean","orangeblau","1-0","1172","1166","5|0"
"http://www.chess.com/livechess/game?id=1064419670","livechess",1064419670,"Live Chess","2015-02-18","thinkboolean","happyhappy123-12","1-0","1180","1162","5|0"
"http://www.chess.com/livechess/game?id=1064422926","livechess",1064422926,"Live Chess","2015-02-18","Climate","thinkboolean","1-0","1179","1172","5|0"
"http://www.chess.com/livechess/game?id=1064423951","livechess",1064423951,"Live Chess","2015-02-18","thinkboolean","chasesmith1988","1-0","1180","1157","5|0"
"http://www.chess.com/livechess/game?id=1064424786","livechess",1064424786,"Live Chess","2015-02-18","thinkboolean","pfg1000","1-0","1189","1198","5|0"
"http://www.chess.com/livechess/game?id=1064429412","livechess",1064429412,"Live Chess","2015-02-18","jrwh","thinkboolean","0-1","1155","1196","5|0"
"http://www.chess.com/livechess/game?id=1064433833","livechess",1064433833,"Live Chess","2015-02-18","thinkboolean","daudi4jazz","1-0","1205","1233","5|0"
"http://www.chess.com/livechess/game?id=1064437820","livechess",1064437820,"Live Chess","2015-02-18","thebear007","thinkboolean","0-1","1217","1213","5|0"
"http://www.chess.com/livechess/game?id=1064442114","livechess",1064442114,"Live Chess","2015-02-18","thinkboolean","thebear007","0-1","1205","1225","5|0"
"http://www.chess.com/livechess/game?id=1065112065","livechess",1065112065,"Live Chess","2015-02-19","eawy","thinkboolean","1/2-1/2","1205","1205","5|0"
"http://www.chess.com/livechess/game?id=1065119701","livechess",1065119701,"Live Chess","2015-02-19","limptwins","thinkboolean","1-0","1193","1197","5|0"
"http://www.chess.com/livechess/game?id=1065120043","livechess",1065120043,"Live Chess","2015-02-19","mastdig","thinkboolean","0-1","1156","1204","5|0"
"http://www.chess.com/livechess/game?id=1068996650","livechess",1068996650,"Live Chess","2015-02-23","thinkboolean","ericworth","0-1","1197","1237","5|0"
"http://www.chess.com/livechess/game?id=1069005880","livechess",1069005880,"Live Chess","2015-02-23","thinkboolean","juanqui72","0-1","1189","1186","5|0"
"http://www.chess.com/livechess/game?id=1069012527","livechess",1069012527,"Live Chess","2015-02-23","daveax","thinkboolean","1/2-1/2","1171","1189","5|0"
"http://www.chess.com/livechess/game?id=1069014758","livechess",1069014758,"Live Chess","2015-02-23","thinkboolean","rmeza","1-0","1198","1211","5|0"
"http://www.chess.com/livechess/game?id=1069017811","livechess",1069017811,"Live Chess","2015-02-23","rmeza","thinkboolean","0-1","1203","1206","5|0"
"http://www.chess.com/livechess/game?id=1069024404","livechess",1069024404,"Live Chess","2015-02-23","thinkboolean","MLADVONVLAD","0-1","1198","1216","5|0"
"http://www.chess.com/livechess/game?id=1069625408","livechess",1069625408,"Live Chess","2015-02-23","thinkboolean","falschenspieler69","1-0","1205","1167","5|0"
"http://www.chess.com/livechess/game?id=1069630849","livechess",1069630849,"Live Chess","2015-02-23","falschenspieler69","thinkboolean","0-1","1160","1212","5|0"
"http://www.chess.com/livechess/game?id=1069636317","livechess",1069636317,"Live Chess","2015-02-23","thinkboolean","itzulini","0-1","1205","1251","5|0"
"http://www.chess.com/livechess/game?id=1069642859","livechess",1069642859,"Live Chess","2015-02-23","athanatos1","thinkboolean","1-0","1276","1198","5|0"
"http://www.chess.com/livechess/game?id=1069965633","livechess",1069965633,"Live Chess","2015-02-24","thinkboolean","SpanishOpening","1-0","1207","1222","5|0"
"http://www.chess.com/livechess/game?id=1069973732","livechess",1069973732,"Live Chess","2015-02-24","JohnnyBoudeaux","thinkboolean","0-1","1180","1215","5|0"
"http://www.chess.com/livechess/game?id=1069976813","livechess",1069976813,"Live Chess","2015-02-24","thinkboolean","mochiagete","0-1","1206","1202","5|0"
"http://www.chess.com/livechess/game?id=1069981329","livechess",1069981329,"Live Chess","2015-02-24","thinkboolean","Kingha01","1-0","1213","1153","5|0"
"http://www.chess.com/livechess/game?id=1069990542","livechess",1069990542,"Live Chess","2015-02-24","dagnall01","thinkboolean","0-1","1195","1221","5|0"
"http://www.chess.com/livechess/game?id=1069994915","livechess",1069994915,"Live Chess","2015-02-24","eraketh","thinkboolean","0-1","1222","1229","5|0"
"http://www.chess.com/livechess/game?id=1070108872","livechess",1070108872,"Live Chess","2015-02-24","joe2069xlm","thinkboolean","1-0","1229","1221","5|0"
"http://www.chess.com/livechess/game?id=1070116468","livechess",1070116468,"Live Chess","2015-02-24","thinkboolean","AzizRida","1-0","1229","1196","5|0"
"http://www.chess.com/livechess/game?id=1070122066","livechess",1070122066,"Live Chess","2015-02-24","tmather49","thinkboolean","1-0","1191","1220","5|0"
"http://www.chess.com/livechess/game?id=1070148902","livechess",1070148902,"Live Chess","2015-02-24","thinkboolean","vanasd","1-0","1229","1254","5|0"
"http://www.chess.com/livechess/game?id=1070158194","livechess",1070158194,"Live Chess","2015-02-24","ValdesMacedonia","thinkboolean","1-0","1224","1221","5|0"
"http://www.chess.com/livechess/game?id=1070466713","livechess",1070466713,"Live Chess","2015-02-24","thinkboolean","abonazemattar","1-0","1230","1249","5|0"
"http://www.chess.com/livechess/game?id=1070484569","livechess",1070484569,"Live Chess","2015-02-24","Stander--J","thinkboolean","1-0","1216","1221","5|0"
"http://www.chess.com/livechess/game?id=1071583939","livechess",1071583939,"Live Chess","2015-02-25","thinkboolean","jdhdez10","0-1","1214","1250","5|0"
"http://www.chess.com/livechess/game?id=1071587229","livechess",1071587229,"Live Chess","2015-02-25","thinkboolean","AleRodLozano","0-1","1205","1187","5|0"
"http://www.chess.com/livechess/game?id=1071616796","livechess",1071616796,"Live Chess","2015-02-25","thinkboolean","loristoteles","0-1","1197","1202","5|0"
