"","Event","Site","Date","White","Black","Result","WhiteElo","BlackElo","TimeControl","Termination","pgn"
"beta1","Live Chess","Chess.com","2012.12.06","johnbek","thinkboolean","1-0","1128","1079","10|0","johnbek won by resignation"," 1.e4 f6 2.Bc4 e5 3.d4 c6 4.dxe5 fxe5 5.Nf3 d5 6.exd5 cxd5 7.Bb3 Qa5+ 8.c3 Bg4 9.Bxd5 Bxf3 10.Qxf3 Nc6 11.Qf7+ Kd8 12.Qxf8+ Kc7 13.Qxa8 Qxd5 14.O-O Qf7 15.Bg5 h6 16.Be3 b6 17.Na3 Kd6 18.Rad1+ Ke6 19.Qxc6+ Kf5 1-0 "
"beta2","Live Chess","Chess.com","2012.12.06","SnakeMama9","thinkboolean","0-1","1044","1086","10|0","thinkboolean won on time"," 1.e4 e6 2.d4 Nf6 3.Bd3 c6 4.Nf3 h6 5.c3 Qa5 6.O-O Qh5 7.Bf4 g5 8.Bg3 d5 9.exd5 Nxd5 10.Ne5 Qxd1 11.Rxd1 Nd7 12.Nxd7 Bxd7 13.c4 Nf4 14.Bxf4 gxf4 15.Be4 Bd6 16.Bf3 e5 17.dxe5 Bxe5 18.Re1 f6 19.Bh5+ Kf8 20.Nc3 Kg7 21.Rad1 Rad8 22.Na4 b5 23.Nc5 Bf5 24.Rxd8 Rxd8 25.b3 a5 26.Rd1 Rd4 27.Rxd4 Bxd4 28.Nb7 Bc5 29.Nxa5 Bb1 30.Nxc6 Bxa2 31.b4 Bd6 32.cxb5 Bd5 33.Bf3 Bxf3 34.gxf3 Kf7 35.b6 Ke6 36.b5 Kd7 37.Na7 Bb8 38.Kg2 Kd6 39.Kh3 Kc5 40.b7 Bxa7 41.Kh4 Kb6 42.Kh5 Kxb7 43.Kxh6 Bxf2 44.Kg6 Bg1 45.Kxf6 Bxh2 46.Ke5 Kb6 47.Kd5 Kxb5 0-1 "
"beta3","Live Chess","Chess.com","2012.12.06","thinkboolean","Ashfaq35","1-0","1092","973","10|0","thinkboolean won by checkmate"," 1.e3 a6 2.b3 h6 3.Qg4 Nf6 4.Qf4 d6 5.Bc4 e6 6.g4 d5 7.Bd3 g5 8.Qg3 Nc6 9.Bb2 Rg8 10.f4 gxf4 11.Qxf4 Rxg4 12.Qf2 e5 13.Be2 Rg6 14.d4 Bb4+ 15.c3 Bd6 16.Na3 Ne4 17.Qf3 Qh4+ 18.Kd1 Nf2+ 19.Kd2 Bg4 20.Qg2 Bf5 21.Nf3 Be4 22.Nxh4 Rxg2 23.Nxg2 Bxg2 24.Rhg1 Ne4+ 25.Ke1 Bh3 26.Bf3 Ng5 27.Bxd5 Na5 28.b4 c6 29.Bg2 Bxg2 30.Rxg2 Bxb4 31.cxb4 Nf3+ 32.Kf2 Nh4 33.bxa5 Rd8 34.Rg8+ Ke7 35.Rxd8 Kxd8 36.Rg1 exd4 37.Bxd4 f5 38.Rg8+ Ke7 39.Rb8 b5 40.axb6 f4 41.exf4 Nf5 42.Be5 h5 43.Ra8 h4 44.Rxa6 h3 45.b7 Ke6 46.b8=Q Kd5 47.Qc8 c5 48.Qxf5 c4 49.Nb5 c3 50.Bd4+ Kc4 51.Rc6+ Kb4 52.Bxc3+ Ka4 53.Rc4# 1-0 "
"beta4","Live Chess","Chess.com","2012.12.06","dcastil5","thinkboolean","1-0","943","1080","10|0","dcastil5 won by checkmate"," 1.Nc3 e6 2.d3 b6 3.e4 Bb7 4.Bf4 d6 5.Nb5 Be7 6.Qf3 Nf6 7.O-O-O Nfd7 8.Qg4 g6 9.e5 f5 10.Qg3 dxe5 11.Bg5 Bxg5+ 12.Kb1 a6 13.Nf3 Bf6 14.Nc3 e4 15.dxe4 Bxc3 16.bxc3 Bxe4 17.Ne5 Qf6 18.Nxd7 Nxd7 19.Qxc7 Rd8 20.Bxa6 Bxg2 21.Rhe1 Be4 22.Bb5 Qf7 23.c4 h5 24.c5 Rh7 25.c6 Nc5 26.Qxb6 Rxd1+ 27.Rxd1 Qa7 28.c7+ Kf8 29.Qxa7 Kg7 30.Qxc5 Kh6 31.c8=Q Bd5 32.Q5f8+ Rg7 33.Qh8+ Rh7 34.Qf6 h4 35.Qxh4+ Kg7 36.Qc7+ Kg8 37.Qcxh7+ Kf8 38.Q4e7# 1-0 "
"beta5","Live Chess","Chess.com","2012.12.06","thinkboolean","dcastil5","1-0","1085","935","10|0","thinkboolean won by checkmate"," 1.e3 Nc6 2.Bd3 d6 3.Qe2 Be6 4.h3 Qd7 5.Nf3 O-O-O 6.Nd4 Nf6 7.b3 d5 8.Ba3 Ne4 9.Nc3 Nxc3 10.dxc3 g6 11.Nb5 h5 12.Bc5 b6 13.Bd4 g5 14.Bxh8 g4 15.h4 g3 16.fxg3 Bg4 17.Qf2 Ne5 18.Bxe5 f6 19.Bd4 Bh6 20.Nxa7+ Kb8 21.Bb5 Qe6 22.Nc6+ Kc8 23.Nxd8 Kxd8 24.Kd2 c6 25.Ba6 c5 26.Bxc5 bxc5 27.Bd3 c4 28.bxc4 dxc4 29.Be2 Qd5+ 30.Ke1 Bf5 31.Bxc4 Qxc4 32.Qxf5 Qxc3+ 33.Kf2 Qxe3+ 34.Kf1 Qxg3 35.Rd1+ Ke8 36.Qd7+ Kf7 37.Qd5+ e6 38.Qxh5+ Kg7 39.Rd7+ Kf8 40.Qxh6+ Ke8 41.Rd3 Qg4 42.Rhh3 Qf5+ 43.Rhf3 Qg4 44.Rxf6 e5 45.Qf8# 1-0 "
"beta6","Live Chess","Chess.com","2012.12.07","rogiejake","thinkboolean","0-1","1031","1092","10|0","thinkboolean won by resignation"," 1.e4 e6 2.Nf3 b6 3.d4 h6 4.Bd3 Bb7 5.Nc3 Be7 6.O-O Bg5 7.d5 exd5 8.exd5 f6 9.Bg6+ Kf8 10.d6 cxd6 11.Qxd6+ Ne7 12.Re1 Nbc6 13.Nd5 h5 14.Rxe7 Nxe7 15.Nxg5 Bxd5 16.Nh7+ Kg8 17.Bh6 Rxh7 18.Bxh7+ Kxh7 19.Qf4 Ng6 20.Qe3 Qe7 21.Qd2 Re8 22.h3 Qe4 23.f3 Qh4 24.Qxd5 Re1+ 25.Rxe1 Qxe1+ 26.Kh2 Kxh6 27.Qxd7 Qe5+ 28.Kh1 Qxb2 29.Qf5 Ne7 30.Qf4+ g5 31.Qc7 Nf5 32.Qc6 h4 33.Qe4 Ng3+ 0-1 "
"beta7","Live Chess","Chess.com","2012.12.07","thinkboolean","ajaybansal3","0-1","1088","1279","10|0","ajaybansal3 won by checkmate"," 1.e3 c5 2.h3 b6 3.b3 Bb7 4.Nf3 Nc6 5.Nc3 g6 6.e4 Bg7 7.Bd3 e6 8.Bb2 Nge7 9.Na4 Bxb2 10.Nxb2 Nb4 11.a3 Nxd3+ 12.Nxd3 Bxe4 13.Ng5 Bb7 14.f3 Nd5 15.O-O Qxg5 16.Qe2 O-O-O 17.Qf2 Nf4 18.Rae1 Nxh3+ 19.Kh1 Nxf2+ 20.Rxf2 Ba6 21.c4 Qf5 22.Ne5 f6 23.Ng4 Qc2 24.Re3 f5 25.Ne5 f4 26.Rc3 Qf5 27.Re2 h5 28.Kg1 h4 29.Ng4 h3 30.b4 cxb4 31.axb4 hxg2 32.Rxg2 Bb7 33.Nh2 Rxh2 34.Rxh2 Bxf3 35.Rxf3 Qb1+ 36.Rf1 Qxb4 37.Rxf4 Qb1+ 38.Kf2 a5 39.Ke3 Qb3+ 40.d3 a4 41.Rg2 a3 42.Rff2 Kb7 43.Ke4 Ra8 44.Ra2 Qa4 45.Rgc2 Qc6+ 46.Ke3 g5 47.d4 g4 48.Kf2 Qe4 49.Rd2 Qf4+ 50.Kg1 g3 51.d5 exd5 52.cxd5 Qxd2 53.Rxd2 a2 54.Rxa2 Rxa2 55.Kh1 Kc7 56.Kg1 Kd6 57.Kf1 b5 58.Kg1 b4 59.Kh1 b3 60.Kg1 b2 61.Kg2 b1=Q+ 62.Kxg3 Qf1 63.Kg4 Rg2+ 64.Kh3 Qh1# 0-1 "
"beta8","Live Chess","Chess.com","2012.12.07","cjadhav3","thinkboolean","1-0","1304","1084","10|0","cjadhav3 won by checkmate"," 1.e4 d6 2.d4 a6 3.Nf3 g6 4.c4 Bg7 5.Nc3 Bd7 6.Bd2 c6 7.Bd3 a5 8.Qc2 Na6 9.O-O b6 10.a3 Qc7 11.Bf4 Nf6 12.e5 Nh5 13.exd6 exd6 14.Rfe1+ Kd8 15.Bd2 Kc8 16.d5 Kb7 17.Be4 Nc5 18.dxc6+ Bxc6 19.Bxc6+ Qxc6 20.Re7+ Nd7 21.Rxf7 Ka6 22.b4 axb4 23.axb4+ Kb7 24.Rxa8 Rxa8 25.h3 Ra1+ 26.Kh2 Bxc3 27.Qxc3 Qa4 28.Rg7 Kc6 29.Rxd7 Kxd7 30.g4 Qd1 31.gxh5 Qh1+ 32.Kg3 gxh5 33.Qg7+ Kc6 34.Nd4# 1-0 "
"beta9","Live Chess","Chess.com","2012.12.07","thinkboolean","titch-","0-1","1077","1128","10|0","titch- won by checkmate"," 1.e3 d5 2.h3 e6 3.g4 Nf6 4.f4 Bb4 5.Bg2 O-O 6.c3 Bd6 7.b3 Nc6 8.Bb2 e5 9.fxe5 Bxe5 10.Qf3 Nb4 11.Na3 Bd7 12.d4 Nd3+ 13.Kd2 Nxb2 14.dxe5 Ne4+ 15.Kc2 Nd1 16.Qxd1 Nf2 17.Qf3 Nxh1 18.Bxh1 Bc6 19.b4 d4 20.exd4 Bxf3 21.Bxf3 h6 22.Bxb7 Rb8 23.Bc6 Qh4 24.b5 Qf2+ 25.Kb3 a6 26.Rb1 axb5 27.Bxb5 c6 28.Ka4 cxb5+ 29.Nxb5 Qc2+ 30.Ka5 Qxb1 31.Nc7 Qb6+ 32.Ka4 Qc6+ 33.Ka5 Qxc7+ 34.Ka4 Qa7# 0-1 "
"beta10","Live Chess","Chess.com","2012.12.09","thinkboolean","ojnav","0-1","1069","1106","10|0","ojnav won - game abandoned"," 1.e3 e5 2.h3 d5 3.b3 e4 4.Bb2 f6 5.Bd4 c5 0-1 "
"beta11","Live Chess","Chess.com","2012.12.11","Papoose0599","thinkboolean","0-1","1092","1078","10|0","thinkboolean won on time"," 1.e4 e5 2.a3 h6 3.Bc4 c6 4.d3 a5 5.Qf3 Qe7 6.g3 a4 7.Qg2 Nf6 8.Ne2 Ra5 9.Nbc3 b5 10.Ba2 b4 11.axb4 Qxb4 12.O-O Bc5 13.Rb1 Bd4 14.Bd2 Qb6 15.h3 Na6 16.Nd1 Rb5 17.c3 Bc5 18.d4 exd4 19.cxd4 Bxd4 20.Bc3 Bc5 21.Qf3 d5 22.e5 Ne4 23.e6 Bxe6 24.Bxg7 Rh7 25.Be5 Nd2 0-1 "
"beta12","Live Chess","Chess.com","2012.12.11","qadir1234","thinkboolean","1-0","1265","1074","10|0","qadir1234 won by checkmate"," 1.e3 e6 2.Qf3 Nc6 3.b3 Nf6 4.Bb2 Nd5 5.Qg3 Rg8 6.a4 Ncb4 7.Na3 Na6 8.Bxa6 bxa6 9.h4 Nb4 10.Qf3 c6 11.Ne2 Nd5 12.h5 Bxa3 13.Bxa3 Bb7 14.h6 Qa5 15.hxg7 Rxg7 16.Qe4 f5 17.Qe5 Rf7 18.Qh8+ Rf8 19.Qxf8# 1-0 "
"beta13","Live Chess","Chess.com","2012.12.11","grudge420","thinkboolean","1-0","1281","1070","10|0","grudge420 won by checkmate"," 1.e4 e6 2.Nf3 h6 3.d4 g5 4.Nc3 Rh7 5.Bd3 Rg7 6.O-O g4 7.Ne5 Nf6 8.Bxh6 Rg8 9.Bxf8 Kxf8 10.d5 d6 11.Nc4 exd5 12.exd5 Nh5 13.g3 f5 14.Re1 c6 15.dxc6 Nxc6 16.Qd2 Kg7 17.Nd5 Rf8 18.Qc3+ Kg8 19.b4 b5 20.Na5 Nxa5 21.bxa5 a6 22.Ne7+ Kh7 23.Qd2 Ra7 24.Nc6 Qd7 25.Nxa7 Qxa7 26.Qg5 Qf7 27.Re7 Qxe7 28.Qxe7+ Kg8 29.Qg5+ Ng7 30.Re1 d5 31.Re7 Rf7 32.Rxf7 Kxf7 33.Kg2 Ne6 34.Qxf5+ Ke7 35.Qxd5 Nc7 36.Qc5+ Kd8 37.Qf8+ Ne8 38.c4 Bd7 39.cxb5 axb5 40.a6 Kc7 41.a7 Kb7 42.Qe7 Kxa7 43.Qxd7+ Ka6 44.Qxe8 Ka7 45.Qxb5 Ka8 46.Qf5 Kb7 47.Qxg4 Kc6 48.Qd4 Kc7 49.Qd5 Kb6 50.Bb5 Ka7 51.Qd6 Kb7 52.Qc6+ Kb8 53.Qd7 Ka8 54.Bc6+ Kb8 55.Qb7# 1-0 "
"beta14","Live Chess","Chess.com","2012.12.11","thinkboolean","Taivo72","1-0","1080","1151","10|0","thinkboolean won on time"," 1.e3 e6 2.h3 h6 3.b3 d5 4.Bd3 a6 5.Bb2 Nf6 6.f4 Nc6 7.c4 Nb4 8.Be2 Ne4 9.cxd5 Ng3 10.Rh2 Nxe2 11.Nxe2 Qxd5 12.Nd4 Nd3+ 13.Ke2 Nxb2 14.Qc2 e5 15.Nc3 Qd8 16.fxe5 Ba3 17.g4 c5 18.Nf5 Bxf5 19.gxf5 c4 20.e4 cxb3 21.axb3 Bb4 22.Qxb2 O-O 23.Rg1 Qd4 24.Rhg2 Bxc3 25.Qxc3 Qxe4+ 26.Qe3 Qxe3+ 27.dxe3 Rae8 28.Rxg7+ Kh8 29.e6 fxe6 30.fxe6 Rxe6 31.Rxb7 Rfe8 32.Rg3 Ra8 33.Kd3 Rd6+ 34.Ke4 a5 35.Rgg7 Re8+ 36.Kf5 Rde6 37.Rh7+ Kg8 38.e4 Rxe4 39.Rxh6 R4e7 40.Rg6+ Kh8 41.Rb5 Rf7+ 42.Kg5 Ra8 43.Rd5 a4 44.bxa4 Rxa4 45.Rd8+ Kh7 46.Kh5 Ra5+ 47.Rg5 Rxg5+ 48.Kxg5 Rf3 49.h4 Rg3+ 50.Kh5 Rh3 51.Rd7+ 1-0 "
"beta15","Live Chess","Chess.com","2012.12.11","thinkboolean","Trotsky77","0-1","1070","1021","10|0","Trotsky77 won by checkmate"," 1.e3 c5 2.b3 e6 3.Bb2 Nc6 4.Qg4 Nf6 5.Qg5 d5 6.h4 Bd7 7.h5 Ne4 8.Qg4 Qg5 9.f3 O-O-O 10.Nh3 Qxg4 11.fxg4 Ng3 12.Rg1 Be7 13.Kf2 Ne4+ 14.Ke2 Nb4 15.Na3 Rhg8 16.Nf2 Ng3+ 17.Kf3 Bh4 18.c3 Nc6 19.Bb5 Ne5+ 20.Kf4 Bxb5 21.Nxb5 Ne2+ 22.Kxe5 Nxg1 23.Rxg1 Bxf2 24.Rf1 Bg3+ 25.Rf4 Bxf4+ 26.exf4 f6+ 27.Kxe6 Rge8+ 28.Kf7 Re2 29.Nxa7+ Kb8 30.Nb5 Rxd2 31.Bc1 Rxa2 32.Kxg7 Rxg2 33.Kxh7 Rxg4 34.f5 d4 35.cxd4 cxd4 36.Bh6 d3 37.Bg7 Rd7 38.Nc3 d2 39.Nd1 Rg1 40.Ne3 Re1 41.Kg6 Rxe3 42.Bh6 Rg3+ 43.Kxf6 d1=Q 44.Bf4+ Ka7 45.h6 Qd4+ 46.Be5 Rd6+ 47.Kf7 Qd5+ 48.Kf8 Rd8+ 49.Ke7 Qxe5+ 50.Kxd8 Rd3+ 51.Kc8 Qc5# 0-1 "
"beta16","Live Chess","Chess.com","2012.12.12","bundabranca","thinkboolean","1-0","953","1059","10|0","bundabranca won by resignation"," 1.e3 e6 2.e4 b6 3.d4 h6 4.g3 Bb7 5.Nf3 c5 6.Bg2 cxd4 7.c3 dxc3 8.O-O cxb2 9.Bxb2 Nf6 10.Re1 Nxe4 11.Nbd2 Nxd2 12.Qxd2 Bxf3 13.Bxf3 Nc6 14.Rad1 d5 15.Rc1 Ne5 16.Rxe5 Bd6 17.Ree1 Qd7 18.Bxg7 Rg8 19.Be5 Rg5 20.Bxd6 Qxd6 21.h4 Re5 22.Rxe5 Qxe5 23.Qe2 Qc3 24.Rxc3 1-0 "
"beta17","Live Chess","Chess.com","2012.12.12","AnandG86","thinkboolean","1-0","970","1049","10|0","AnandG86 won by resignation"," 1.e4 e6 2.Nf3 h6 3.Bc4 b6 4.d3 Ba6 5.Bb3 b5 6.a3 c5 7.Ba2 Bd6 8.O-O g5 9.Nc3 Bf4 10.Bxf4 gxf4 11.Ne5 f6 12.Nf3 e5 13.Nd5 Nc6 14.c3 d6 15.Nh4 Rh7 16.g3 fxg3 17.fxg3 Rf7 18.Qh5 Qd7 19.Rxf6 Nxf6 20.Nxf6+ Kd8 21.Nxd7 Rxd7 1-0 "
"beta18","Live Chess","Chess.com","2012.12.13","thinkboolean","sangi007","1-0","1053","877","10|0","thinkboolean won by checkmate"," 1.e3 e5 2.Qf3 Nf6 3.Qh3 d6 4.Qg3 Ng4 5.Be2 d5 6.Bxg4 Nc6 7.Be2 Nb4 8.Na3 Qf6 9.Nf3 e4 10.Nd4 Bc5 11.Qxc7 Bxd4 12.exd4 Qxd4 13.Bb5+ Kf8 14.Qd8# 1-0 "
"beta19","Live Chess","Chess.com","2012.12.13","De_Olival","thinkboolean","0-1","1033","1061","10|0","thinkboolean won by checkmate"," 1.e4 e6 2.Bc4 b6 3.Qh5 Nc6 4.c3 Na5 5.Bb5 Nf6 6.Qf3 Bb7 7.Nh3 Bxe4 8.Qe3 c6 9.Ba4 b5 10.Bb3 d5 11.d3 Bxg2 12.Rg1 Bxh3 13.Qxh3 g6 14.Bc2 h5 15.b4 Nb7 16.Bg5 Bh6 17.Bh4 g5 18.Bg3 g4 19.Qg2 Bg5 20.f4 Bh6 21.Na3 Nd7 22.O-O-O e5 23.Rde1 O-O 24.Kb1 exf4 25.Bf2 f5 26.Re6 f3 27.Qf1 Bg7 28.Rxc6 Ne5 29.Re6 Qd7 30.Ra6 Nc6 31.Nxb5 Nd6 32.Nxd6 Qxd6 33.Bc5 Qxh2 34.Bxf8 Bxc3 35.Rxc6 d4 36.Bc5 Rb8 37.Bb3+ Kg7 38.Rc7+ Kf6 39.Rc6+ Kg7 40.Rc7+ Kh8 41.Bxa7 Qb2# 0-1 "
"beta20","Live Chess","Chess.com","2012.12.13","kh-elena","thinkboolean","1-0","1181","1056","10|0","kh-elena won by checkmate"," 1.e4 e6 2.d4 b6 3.d5 Qe7 4.d6 cxd6 5.Nf3 Bb7 6.Bd3 Nc6 7.Bg5 f6 8.Bc1 g5 9.h3 Ne5 10.Nh2 Nh6 11.f4 Nef7 12.fxg5 Nxg5 13.Bxg5 fxg5 14.Nc3 Bg7 15.Nb5 O-O 16.c3 a6 17.Nd4 e5 18.Nb3 Rf4 19.Qe2 b5 20.O-O-O Raf8 21.Qh5 Bxe4 22.Bxe4 Rxe4 23.Nd2 Re3 24.Nhf3 Rf4 25.Nxg5 Rg3 26.Ngf3 Rxg2 27.Rhg1 Rxg1 28.Rxg1 Ra4 29.Qxh6 Rxa2 30.Qh5 Ra1+ 31.Nb1 Ra4 32.Ng5 h6 33.Nf3 e4 34.Nd4 e3 35.Nf5 Re4 36.Nxe7+ Rxe7 37.Kd1 e2+ 38.Ke1 Kh7 39.Qg6+ Kh8 40.Qxd6 Bf8 41.Qf6+ Rg7 42.Qxf8+ Kh7 43.Qxg7# 1-0 "
"beta21","Live Chess","Chess.com","2012.12.14","thinkboolean","haddramy","0-1","1046","977","10|0","haddramy won by checkmate"," 1.e3 d5 2.b3 d4 3.h3 dxe3 4.fxe3 e6 5.Nf3 b6 6.g4 e5 7.Bb5+ c6 8.Bc4 Bb7 9.Qe2 c5 10.Bb2 Bd6 11.d4 cxd4 12.exd4 Nh6 13.dxe5 Bc5 14.e6 O-O 15.exf7+ Nxf7 16.Ng5 Qxg5 17.Rf1 Nc6 18.Bxf7+ Kh8 19.Qe6 Qh4+ 20.Kd1 Rad8+ 21.Kc1 Qh6+ 22.Nd2 Qxd2+ 23.Kb1 Bc8 24.Qc4 Nb4 25.c3 Qc2# 0-1 "
"beta22","Live Chess","Chess.com","2012.12.14","thinkboolean","borwork","0-1","1035","895","10|0","borwork won by resignation"," 1.e3 e5 2.h3 Nc6 3.b3 Nf6 4.Bb2 d6 5.Be2 Bf5 6.Nc3 Nb4 7.d3 Qd7 8.e4 Be6 9.g4 Qc6 10.Qd2 d5 11.f4 dxe4 12.fxe5 Nd7 13.d4 e3 14.Qd3 Qxh1 15.Qxe3 Nxc2+ 0-1 "
"beta23","Live Chess","Chess.com","2012.12.14","thinkboolean","tuya_naval","1-0","1042","1003","10|0","thinkboolean won by resignation"," 1.e3 e5 2.h3 e4 3.b3 Qf6 4.Nc3 Bb4 5.Bb2 Nc6 6.Na4 Qd6 7.Bxg7 b5 8.Nb2 Ba3 9.Bxh8 Bxb2 10.Bxb2 a6 11.Qh5 Bb7 12.Qxh7 O-O-O 13.Qxe4 Nce7 14.Qd4 Nf5 15.Qxd6 Nxd6 16.Rh2 Ne4 17.g4 f6 18.Bg2 Ng3 19.f3 f5 20.Kf2 fxg4 21.hxg4 1-0 "
"beta24","Live Chess","Chess.com","2012.12.14","gimzu","thinkboolean","0-1","1035","1050","10|0","thinkboolean won by checkmate"," 1.e3 e6 2.Qh5 Be7 3.Nf3 Nf6 4.Qe5 Bd6 5.Qd4 b6 6.Nc3 Bb7 7.Ng5 Nc6 8.Qc4 Qe7 9.b3 Nb4 10.Bd3 h6 11.Nge4 Nxd3+ 12.Qxd3 Ba3 13.O-O Bb4 14.Nxf6+ gxf6 15.Nb5 Qc5 16.Qc4 Qxc4 17.bxc4 Kd8 18.Bb2 e5 19.d3 a6 20.Na3 Ke7 21.f4 exf4 22.exf4 Rhg8 23.Rf2 Bc5 24.Kf1 Bxf2 25.Kxf2 Rxg2+ 26.Ke3 Rxh2 27.Re1 Kf8 28.Nb1 Re8+ 29.Kd4 Rxe1 30.Nc3 Rxc2 31.Ba3+ d6 32.Nd5 c5+ 33.Bxc5 dxc5# 0-1 "
"beta25","Live Chess","Chess.com","2012.12.14","carost","thinkboolean","1-0","1123","1044","10|0","carost won by checkmate"," 1.e4 e6 2.Bc4 b6 3.a3 h6 4.Nf3 Be7 5.d3 Bg5 6.Bxg5 hxg5 7.Qd2 f6 8.O-O d5 9.exd5 exd5 10.Bb5+ Bd7 11.Bxd7+ Qxd7 12.Nd4 Nc6 13.Nxc6 Qxc6 14.d4 O-O-O 15.Nc3 a6 16.Qd3 b5 17.Qf5+ Kb7 18.Qg6 Rd7 19.a4 Nh6 20.axb5 axb5 21.Qd3 b4 22.Nb5 Ra8 23.Rxa8 Kxa8 24.Ra1+ Kb8 25.Na7 Qb6 26.Ra6 Qb7 27.Ra4 c6 28.Qg6 Qb6 29.Qe8+ Rd8 30.Nxc6+ Kb7 31.Nxd8+ Kc7 32.Qe7+ Kc8 33.Ra8+ Qb8 34.Rxb8+ Kxb8 35.Qb7# 1-0 "
"beta26","Live Chess","Chess.com","2012.12.14","thinkboolean","mgko","1-0","1049","898","10|0","thinkboolean won by resignation"," 1.e3 d5 2.b3 d4 3.h3 d3 4.Bxd3 g6 5.Bb2 Bf5 6.Bxh8 Bxd3 7.cxd3 Qxd3 8.Nc3 f6 9.Qg4 Nc6 10.Nge2 Rd8 11.Ne4 Qc2 12.O-O f5 13.Rfc1 Qxe4 14.Qxe4 fxe4 15.Rc4 Rxd2 16.Nf4 b5 17.Rxe4 g5 18.Ne6 Nf6 19.Bxf6 exf6 20.Nxc7+ Kd8 21.Ne6+ Ke8 22.Nxg5+ Kd7 23.Nxh7 Bg7 24.g4 f5 25.Rd4+ Bxd4 26.exd4 Rxd4 27.Re1 f4 28.Nf6+ Kc7 29.Nh5 Kd6 30.f3 Ne5 31.Rf1 a5 32.h4 a4 33.bxa4 bxa4 34.g5 Rd3 35.Kg2 Rd2+ 36.Rf2 Rxf2+ 37.Kxf2 Nc6 38.g6 Nb4 39.g7 Nxa2 40.g8=Q Nb4 41.Qg6+ Kd5 42.Qe4+ Kc5 43.Nxf4 a3 44.Nd3+ Nxd3+ 45.Qxd3 a2 46.Qa3+ Kc4 47.Qxa2+ 1-0 "
"beta27","Live Chess","Chess.com","2012.12.14","Voiceinthedesert","thinkboolean","1/2-1/2","917","1046","10|0","Game drawn by stalemate"," 1.e3 e6 2.Nc3 b6 3.Qf3 h6 4.Qxa8 Nc6 5.Nb5 a5 6.Na7 Nxa7 7.Qxa7 c6 8.Ba6 b5 9.Qa8 Bxa6 10.Qxa6 Bc5 11.Nf3 Ne7 12.Ne5 O-O 13.Nd3 Bb6 14.Nb4 axb4 15.c3 Qc7 16.cxb4 Nd5 17.Qa3 c5 18.bxc5 Bxc5 19.Qd3 Ra8 20.Qxb5 Ra5 21.Qd3 Nb4 22.Qe4 Bxe3 23.fxe3 Nc2+ 24.Kd1 Nxa1 25.Rf1 Rc5 26.Ke2 f5 27.Qa8+ Kf7 28.Qf3 Rxc1 29.Rxc1 Qxc1 30.Qh5+ Kf6 31.Qh4+ Kg6 32.Qg3+ Kh7 33.Qe5 Nc2 34.Qc3 Qe1+ 35.Kd3 Na1 36.a4 Qf1+ 37.Kd4 Qxg2 38.a5 Qe4+ 39.Kc5 Qc6+ 40.Kb4 Nc2+ 41.Kb3 Ne1 42.Qxc6 dxc6 43.a6 Nd3 44.a7 Nc5+ 45.Kc4 Na4 46.a8=Q Nb6+ 47.Kc5 Nxa8 48.Kxc6 e5 49.b4 f4 50.exf4 exf4 51.b5 f3 52.b6 Nxb6 53.Kxb6 f2 54.d4 f1=Q 55.d5 Qc1 56.d6 Qc3 57.d7 Qd4+ 58.Kc7 g5 59.d8=Q Qxd8+ 60.Kxd8 Kg6 61.Kd7 Kf5 62.Kd6 Kf4 63.Kd5 h5 64.Kd4 h4 65.Kd3 g4 66.Ke2 g3 67.hxg3+ hxg3 68.Kf1 Kg4 69.Kg1 Kh3 70.Kf1 g2+ 71.Kg1 Kg3 1/2-1/2 "
"beta28","Live Chess","Chess.com","2012.12.14","marvasti1380","thinkboolean","1-0","1253","1042","10|0","marvasti1380 won by resignation"," 1.Nc3 e6 2.Nf3 h6 3.e4 b6 4.d4 Bb7 5.Bd3 Qe7 6.O-O f6 7.Bf4 d6 8.d5 e5 9.Be3 g5 10.b4 Nd7 11.Nb5 Kd8 12.c4 a6 13.Nc3 c6 14.Qa4 b5 15.Qa5+ Ke8 16.dxc6 Bxc6 17.cxb5 axb5 18.Qc7 Nb8 19.Nxb5 Qe6 20.Qb6 Ne7 21.Nc7+ Kd7 1-0 "
"beta29","Live Chess","Chess.com","2012.12.14","thinkboolean","Voiceinthedesert","1-0","1047","907","10|0","thinkboolean won by resignation"," 1.e3 Nf6 2.h3 e6 3.b3 Qe7 4.Qe2 Ne4 5.d3 Qf6 6.f3 Qxa1 7.dxe4 Qxb1 8.Kd1 Qxa2 9.Qc4 Qa5 10.b4 Qg5 11.Qxc7 Qd8 12.Qe5 Nc6 13.Qb5 a6 14.Qa4 Bxb4 15.Bb2 b5 16.Bxb5 Qa5 17.Bxc6 Qxa4 18.Bxa4 Rb8 19.Bxg7 Rg8 20.Be5 Rb6 21.g4 Bc5 22.Ke2 Rb4 23.Bb3 a5 24.Bc3 Rb5 25.Bc4 Rb2 26.Bxb2 a4 27.Kd3 a3 28.Bf6 Rg6 29.g5 h6 30.h4 hxg5 31.hxg5 Bb7 32.Rh8+ 1-0 "
