"","gameID","pgn"
"628","beta8","17.Be4"
"629","beta8","17...Nc5"
"630","beta8","18.dxc6+"
"631","beta8","18...Bxc6"
"632","beta8","19.Bxc6+"
"633","beta8","19...Qxc6"
"634","beta8","20.Re7+"
"635","beta8","20...Nd7"
"636","beta8","21.Rxf7"
"637","beta8","21...Ka6"
"638","beta8","22.b4"
"639","beta8","22...axb4"
"640","beta8","23.axb4+"
"641","beta8","23...Kb7"
"642","beta8","24.Rxa8"
"643","beta8","24...Rxa8"
"644","beta8","25.h3"
"645","beta8","25...Ra1+"
"646","beta8","26.Kh2"
"647","beta8","26...Bxc3"
"648","beta8","27.Qxc3"
"649","beta8","27...Qa4"
"650","beta8","28.Rg7"
"651","beta8","28...Kc6"
"652","beta8","29.Rxd7"
"653","beta8","29...Kxd7"
"654","beta8","30.g4"
"655","beta8","30...Qd1"
"656","beta8","31.gxh5"
"657","beta8","31...Qh1+"
"658","beta8","32.Kg3"
"659","beta8","32...gxh5"
"660","beta8","33.Qg7+"
"661","beta8","33...Kc6"
"662","beta8","34.Nd4#"
"663","beta9","1.e3"
"664","beta9","1...d5"
"665","beta9","2.h3"
"666","beta9","2...e6"
"667","beta9","3.g4"
"668","beta9","3...Nf6"
"669","beta9","4.f4"
"670","beta9","4...Bb4"
"671","beta9","5.Bg2"
"672","beta9","5...O-O"
"673","beta9","6.c3"
"674","beta9","6...Bd6"
"675","beta9","7.b3"
"676","beta9","7...Nc6"
"677","beta9","8.Bb2"
"678","beta9","8...e5"
"679","beta9","9.fxe5"
"680","beta9","9...Bxe5"
"681","beta9","10.Qf3"
"682","beta9","10...Nb4"
"683","beta9","11.Na3"
"684","beta9","11...Bd7"
"685","beta9","12.d4"
"686","beta9","12...Nd3+"
"687","beta9","13.Kd2"
"688","beta9","13...Nxb2"
"689","beta9","14.dxe5"
"690","beta9","14...Ne4+"
"691","beta9","15.Kc2"
"692","beta9","15...Nd1"
"693","beta9","16.Qxd1"
"694","beta9","16...Nf2"
"695","beta9","17.Qf3"
"696","beta9","17...Nxh1"
"697","beta9","18.Bxh1"
"698","beta9","18...Bc6"
"699","beta9","19.b4"
"700","beta9","19...d4"
"701","beta9","20.exd4"
"702","beta9","20...Bxf3"
"703","beta9","21.Bxf3"
"704","beta9","21...h6"
"705","beta9","22.Bxb7"
"706","beta9","22...Rb8"
"707","beta9","23.Bc6"
"708","beta9","23...Qh4"
"709","beta9","24.b5"
"710","beta9","24...Qf2+"
"711","beta9","25.Kb3"
"712","beta9","25...a6"
"713","beta9","26.Rb1"
"714","beta9","26...axb5"
"715","beta9","27.Bxb5"
"716","beta9","27...c6"
"717","beta9","28.Ka4"
"718","beta9","28...cxb5+"
"719","beta9","29.Nxb5"
"720","beta9","29...Qc2+"
"721","beta9","30.Ka5"
"722","beta9","30...Qxb1"
"723","beta9","31.Nc7"
"724","beta9","31...Qb6+"
"725","beta9","32.Ka4"
"726","beta9","32...Qc6+"
"727","beta9","33.Ka5"
"728","beta9","33...Qxc7+"
"729","beta9","34.Ka4"
"730","beta9","34...Qa7#"
"731","beta10","1.e3"
"732","beta10","1...e5"
"733","beta10","2.h3"
"734","beta10","2...d5"
"735","beta10","3.b3"
"736","beta10","3...e4"
"737","beta10","4.Bb2"
"738","beta10","4...f6"
"739","beta10","5.Bd4"
"740","beta10","5...c5"
"741","beta11","1.e4"
"742","beta11","1...e5"
"743","beta11","2.a3"
"744","beta11","2...h6"
"745","beta11","3.Bc4"
"746","beta11","3...c6"
"747","beta11","4.d3"
"748","beta11","4...a5"
"749","beta11","5.Qf3"
"750","beta11","5...Qe7"
"751","beta11","6.g3"
"752","beta11","6...a4"
"753","beta11","7.Qg2"
"754","beta11","7...Nf6"
"755","beta11","8.Ne2"
"756","beta11","8...Ra5"
"757","beta11","9.Nbc3"
"758","beta11","9...b5"
"759","beta11","10.Ba2"
"760","beta11","10...b4"
"761","beta11","11.axb4"
"762","beta11","11...Qxb4"
"763","beta11","12.O-O"
"764","beta11","12...Bc5"
"765","beta11","13.Rb1"
"766","beta11","13...Bd4"
"767","beta11","14.Bd2"
"768","beta11","14...Qb6"
"769","beta11","15.h3"
"770","beta11","15...Na6"
"771","beta11","16.Nd1"
"772","beta11","16...Rb5"
"773","beta11","17.c3"
"774","beta11","17...Bc5"
"775","beta11","18.d4"
"776","beta11","18...exd4"
"777","beta11","19.cxd4"
"778","beta11","19...Bxd4"
"779","beta11","20.Bc3"
"780","beta11","20...Bc5"
"781","beta11","21.Qf3"
"782","beta11","21...d5"
"783","beta11","22.e5"
"784","beta11","22...Ne4"
"785","beta11","23.e6"
"786","beta11","23...Bxe6"
"787","beta11","24.Bxg7"
"788","beta11","24...Rh7"
"789","beta11","25.Be5"
"790","beta11","25...Nd2"
"791","beta12","1.e3"
"792","beta12","1...e6"
"793","beta12","2.Qf3"
"794","beta12","2...Nc6"
"795","beta12","3.b3"
"796","beta12","3...Nf6"
"797","beta12","4.Bb2"
"798","beta12","4...Nd5"
"799","beta12","5.Qg3"
"800","beta12","5...Rg8"
"801","beta12","6.a4"
"802","beta12","6...Ncb4"
"803","beta12","7.Na3"
"804","beta12","7...Na6"
"805","beta12","8.Bxa6"
"806","beta12","8...bxa6"
"807","beta12","9.h4"
"808","beta12","9...Nb4"
"809","beta12","10.Qf3"
"810","beta12","10...c6"
"811","beta12","11.Ne2"
"812","beta12","11...Nd5"
"813","beta12","12.h5"
"814","beta12","12...Bxa3"
"815","beta12","13.Bxa3"
"816","beta12","13...Bb7"
"817","beta12","14.h6"
"818","beta12","14...Qa5"
"819","beta12","15.hxg7"
"820","beta12","15...Rxg7"
"821","beta12","16.Qe4"
"822","beta12","16...f5"
"823","beta12","17.Qe5"
"824","beta12","17...Rf7"
"825","beta12","18.Qh8+"
"826","beta12","18...Rf8"
"827","beta12","19.Qxf8#"
"828","beta13","1.e4"
"829","beta13","1...e6"
"830","beta13","2.Nf3"
"831","beta13","2...h6"
"832","beta13","3.d4"
"833","beta13","3...g5"
"834","beta13","4.Nc3"
"835","beta13","4...Rh7"
"836","beta13","5.Bd3"
"837","beta13","5...Rg7"
"838","beta13","6.O-O"
"839","beta13","6...g4"
"840","beta13","7.Ne5"
"841","beta13","7...Nf6"
"842","beta13","8.Bxh6"
"843","beta13","8...Rg8"
"844","beta13","9.Bxf8"
"845","beta13","9...Kxf8"
"846","beta13","10.d5"
"847","beta13","10...d6"
"848","beta13","11.Nc4"
"849","beta13","11...exd5"
"850","beta13","12.exd5"
"851","beta13","12...Nh5"
"852","beta13","13.g3"
"853","beta13","13...f5"
"854","beta13","14.Re1"
"855","beta13","14...c6"
"856","beta13","15.dxc6"
"857","beta13","15...Nxc6"
"858","beta13","16.Qd2"
"859","beta13","16...Kg7"
"860","beta13","17.Nd5"
"861","beta13","17...Rf8"
"862","beta13","18.Qc3+"
"863","beta13","18...Kg8"
"864","beta13","19.b4"
"865","beta13","19...b5"
"866","beta13","20.Na5"
"867","beta13","20...Nxa5"
"868","beta13","21.bxa5"
"869","beta13","21...a6"
"870","beta13","22.Ne7+"
"871","beta13","22...Kh7"
"872","beta13","23.Qd2"
"873","beta13","23...Ra7"
"874","beta13","24.Nc6"
"875","beta13","24...Qd7"
"876","beta13","25.Nxa7"
"877","beta13","25...Qxa7"
"878","beta13","26.Qg5"
"879","beta13","26...Qf7"
"880","beta13","27.Re7"
"881","beta13","27...Qxe7"
"882","beta13","28.Qxe7+"
"883","beta13","28...Kg8"
"884","beta13","29.Qg5+"
"885","beta13","29...Ng7"
"886","beta13","30.Re1"
"887","beta13","30...d5"
"888","beta13","31.Re7"
"889","beta13","31...Rf7"
"890","beta13","32.Rxf7"
"891","beta13","32...Kxf7"
"892","beta13","33.Kg2"
"893","beta13","33...Ne6"
"894","beta13","34.Qxf5+"
"895","beta13","34...Ke7"
"896","beta13","35.Qxd5"
"897","beta13","35...Nc7"
"898","beta13","36.Qc5+"
"899","beta13","36...Kd8"
"900","beta13","37.Qf8+"
"901","beta13","37...Ne8"
"902","beta13","38.c4"
"903","beta13","38...Bd7"
"904","beta13","39.cxb5"
"905","beta13","39...axb5"
"906","beta13","40.a6"
"907","beta13","40...Kc7"
"908","beta13","41.a7"
"909","beta13","41...Kb7"
"910","beta13","42.Qe7"
"911","beta13","42...Kxa7"
"912","beta13","43.Qxd7+"
"913","beta13","43...Ka6"
"914","beta13","44.Qxe8"
"915","beta13","44...Ka7"
"916","beta13","45.Qxb5"
"917","beta13","45...Ka8"
"918","beta13","46.Qf5"
"919","beta13","46...Kb7"
"920","beta13","47.Qxg4"
"921","beta13","47...Kc6"
"922","beta13","48.Qd4"
"923","beta13","48...Kc7"
"924","beta13","49.Qd5"
"925","beta13","49...Kb6"
"926","beta13","50.Bb5"
"927","beta13","50...Ka7"
"928","beta13","51.Qd6"
"929","beta13","51...Kb7"
"930","beta13","52.Qc6+"
"931","beta13","52...Kb8"
"932","beta13","53.Qd7"
"933","beta13","53...Ka8"
"934","beta13","54.Bc6+"
"935","beta13","54...Kb8"
"936","beta13","55.Qb7#"
"937","beta14","1.e3"
"938","beta14","1...e6"
"939","beta14","2.h3"
"940","beta14","2...h6"
"941","beta14","3.b3"
"942","beta14","3...d5"
"943","beta14","4.Bd3"
"944","beta14","4...a6"
"945","beta14","5.Bb2"
"946","beta14","5...Nf6"
